"","Site.ID","Species","Neighbours","Competition","date","height"
"107","PCC6","Phragmites","Calamagrostis","Yes","030616",159
"108","CCP1CU","Calamagrositis","Phragmites","No","030616",106
"109","CCP1","Calamagrositis","Phragmites","Yes","030616",93
"110","CCP2","Calamagrositis","Phragmites","Yes","030616",113
"111","CCP3","Calamagrositis","Phragmites","Yes","030616",89
"112","CAP6CU","Carex","Phragmites","No","030616",85
"113","CAP6","Carex","Phragmites","Yes","030616",105
"114","CAP7CU","Carex","Phragmites","No","030616",78
"115","CAP7","Carex","Phragmites","Yes","030616",103
"116","CAP8CU","Carex","Phragmites","No","030616",83
"117","CAP8","Carex","Phragmites","Yes","030616",81
"118","CAP9CU","Carex","Phragmites","No","030616",96
"119","CAP9","Carex","Phragmites","Yes","030616",109
"120","CAP10CU","Carex","Phragmites","No","030616",88
"121","CAP10","Carex","Phragmites","Yes","030616",93
"122","PCA1CU","Phragmites","Carex","No","030616",149
"123","PCA1","Phragmites","Carex","Yes","030616",116
"124","PCA2","Phragmites","Carex","Yes","030616",169
"125","PCA3CU","Phragmites","Carex","No","030616",140
"126","PCA3","Phragmites","Carex","Yes","030616",109
"127","PCA4CU","Phragmites","Carex","No","030616",130
"128","PCA4","Phragmites","Carex","Yes","030616",133
"129","PCA5","Phragmites","Carex","Yes","030616",150
"130","PCA6CU","Phragmites","Carex","No","030616",120
"131","PCA6","Phragmites","Carex","Yes","030616",146
"132","CAP11CU","Carex","Phragmites","No","030616",91
"133","CAP11","Carex","Phragmites","Yes","030616",88
"134","CAP12CU","Carex","Phragmites","No","030616",88
"135","CAP12","Carex","Phragmites","Yes","030616",103
"136","CCP4","Calamagrositis","Phragmites","Yes","030616",116
"137","CCP5","Calamagrositis","Phragmites","Yes","030616",121
"138","CCP6CU","Calamagrositis","Phragmites","No","030616",78
"139","CCP6","Calamagrositis","Phragmites","Yes","030616",78
"140","CCP7CU","Calamagrositis","Phragmites","No","030616",61
"141","CCP7","Calamagrositis","Phragmites","Yes","030616",79
"142","CCP8CU","Calamagrositis","Phragmites","No","030616",75
"143","CCP8","Calamagrositis","Phragmites","Yes","030616",74
"144","CCP9CU","Calamagrositis","Phragmites","No","030616",89
"145","CCP9","Calamagrositis","Phragmites","Yes","030616",78
"146","CCP10CU","Calamagrositis","Phragmites","No","030616",92
"147","CCP10","Calamagrositis","Phragmites","Yes","030616",78
"148","CCP11CU","Calamagrositis","Phragmites","No","030616",64
"149","CCP11","Calamagrositis","Phragmites","Yes","030616",54
"150","TYP1CU","Typha","Phragmites","No","030616",152
"151","TYP1","Typha","Phragmites","Yes","030616",154
"152","TYP2CU","Typha","Phragmites","No","030616",140
"153","TYP2","Typha","Phragmites","Yes","030616",168
"154","TYP3CU","Typha","Phragmites","No","030616",153
"155","TYP3","Typha","Phragmites","Yes","030616",133
"156","TYP4CU","Typha","Phragmites","No","030616",170
"157","TYP4","Typha","Phragmites","Yes","030616",176
"158","TYP5CU","Typha","Phragmites","No","030616",180
"159","TYP5","Typha","Phragmites","Yes","030616",194
"160","TYP6CU","Typha","Phragmites","No","030616",185
"161","TYP6","Typha","Phragmites","Yes","030616",172
"162","PTY1CU","Phragmites","Typha","No","030616",147
"163","PTY1","Phragmites","Typha","Yes","030616",139
"164","PTY2CU","Phragmites","Typha","No","030616",147
"165","PTY2","Phragmites","Typha","Yes","030616",170
"166","PTY3","Phragmites","Typha","Yes","030616",156
"167","PTY4CU","Phragmites","Typha","No","030616",181
"168","PTY4","Phragmites","Typha","Yes","030616",165
"169","PTY5CU","Phragmites","Typha","No","030616",178
"170","PTY5","Phragmites","Typha","Yes","030616",181
"171","PTY6CU","Phragmites","Typha","No","030616",174
"172","PTY6","Phragmites","Typha","Yes","030616",209
"173","PCC1CU","Phragmites","Calamagrostis","No","120616",183
"174","PCC2CU","Phragmites","Calamagrostis","No","120616",110
"175","PCC1","Phragmites","Calamagrostis","Yes","120616",155
"176","PCC2","Phragmites","Calamagrostis","Yes","120616",124
"177","PCC3CU","Phragmites","Calamagrostis","No","120616",145
"178","CAP1CU","Carex","Phragmites","No","120616",91
"179","CAP1","Carex","Phragmites","Yes","120616",97
"180","CAP2CU","Carex","Phragmites","No","120616",86
"181","CAP2","Carex","Phragmites","Yes","120616",93
"182","CAP3CU","Carex","Phragmites","No","120616",107
"183","CAP3","Carex","Phragmites","Yes","120616",105
"184","CAP4","Carex","Phragmites","Yes","120616",112
"185","CAP5CU","Carex","Phragmites","No","120616",94
"186","CAP5","Carex","Phragmites","Yes","120616",104
"187","PCC3","Phragmites","Calamagrostis","Yes","120616",153
"188","PCC4CU","Phragmites","Calamagrostis","No","120616",222
"189","PCC4","Phragmites","Calamagrostis","Yes","120616",214
"190","PCC5CU","Phragmites","Calamagrostis","No","120616",202
"191","PCC5","Phragmites","Calamagrostis","Yes","120616",185
"192","PCC6CU","Phragmites","Calamagrostis","No","120616",132
"193","PCC6","Phragmites","Calamagrostis","Yes","120616",178
"194","CCP1CU","Calamagrositis","Phragmites","No","120616",114
"195","CCP1","Calamagrositis","Phragmites","Yes","120616",98
"196","CCP2","Calamagrositis","Phragmites","Yes","120616",119
"197","CCP3","Calamagrositis","Phragmites","Yes","120616",97
"198","CAP6CU","Carex","Phragmites","No","120616",96
"199","CAP6","Carex","Phragmites","Yes","120616",100
"200","CAP7CU","Carex","Phragmites","No","120616",102
"201","CAP7","Carex","Phragmites","Yes","120616",114
"202","CAP8CU","Carex","Phragmites","No","120616",82
"203","CAP8","Carex","Phragmites","Yes","120616",86
"204","CAP9CU","Carex","Phragmites","No","120616",98
"205","CAP9","Carex","Phragmites","Yes","120616",110
"206","CAP10CU","Carex","Phragmites","No","120616",100
"207","CAP10","Carex","Phragmites","Yes","120616",99
"208","PCA1CU","Phragmites","Carex","No","120616",171
"209","PCA1","Phragmites","Carex","Yes","120616",130
"210","PCA2","Phragmites","Carex","Yes","120616",197
"211","PCA3CU","Phragmites","Carex","No","120616",155
"212","PCA3","Phragmites","Carex","Yes","120616",123
"213","PCA4CU","Phragmites","Carex","No","120616",141
"214","PCA4","Phragmites","Carex","Yes","120616",148
"215","PCA5","Phragmites","Carex","Yes","120616",163
"216","PCA6CU","Phragmites","Carex","No","120616",133
"217","PCA6","Phragmites","Carex","Yes","120616",159
"218","CAP11CU","Carex","Phragmites","No","120616",97
"219","CAP11","Carex","Phragmites","Yes","120616",91
"220","CAP12CU","Carex","Phragmites","No","120616",98
"221","CAP12","Carex","Phragmites","Yes","120616",108
"222","CCP4","Calamagrositis","Phragmites","Yes","120616",141
"223","CCP5","Calamagrositis","Phragmites","Yes","120616",133
"224","CCP6CU","Calamagrositis","Phragmites","No","120616",88
"225","CCP6","Calamagrositis","Phragmites","Yes","120616",83
"226","CCP7CU","Calamagrositis","Phragmites","No","120616",68
"227","CCP7","Calamagrositis","Phragmites","Yes","120616",78
"228","CCP8CU","Calamagrositis","Phragmites","No","120616",79
"229","CCP8","Calamagrositis","Phragmites","Yes","120616",79
"230","CCP9CU","Calamagrositis","Phragmites","No","120616",91
"231","CCP9","Calamagrositis","Phragmites","Yes","120616",81
"232","CCP10CU","Calamagrositis","Phragmites","No","120616",87
"233","CCP10","Calamagrositis","Phragmites","Yes","120616",79
"234","CCP11CU","Calamagrositis","Phragmites","No","120616",64
"235","CCP11","Calamagrositis","Phragmites","Yes","120616",74
"236","TYP1CU","Typha","Phragmites","No","120616",167
"237","TYP1","Typha","Phragmites","Yes","120616",180
"238","TYP2CU","Typha","Phragmites","No","120616",174
"239","TYP2","Typha","Phragmites","Yes","120616",193
"240","TYP3CU","Typha","Phragmites","No","120616",170
"241","TYP3","Typha","Phragmites","Yes","120616",133
"242","TYP4CU","Typha","Phragmites","No","120616",187
"243","TYP4","Typha","Phragmites","Yes","120616",200
"244","TYP5CU","Typha","Phragmites","No","120616",197
"245","TYP5","Typha","Phragmites","Yes","120616",208
"246","TYP6CU","Typha","Phragmites","No","120616",200
"247","TYP6","Typha","Phragmites","Yes","120616",194
"248","PTY1CU","Phragmites","Typha","No","120616",158
"249","PTY1","Phragmites","Typha","Yes","120616",168
"250","PTY2CU","Phragmites","Typha","No","120616",155
"251","PTY2","Phragmites","Typha","Yes","120616",180
"252","PTY3","Phragmites","Typha","Yes","120616",157
"253","PTY4CU","Phragmites","Typha","No","120616",198
"254","PTY4","Phragmites","Typha","Yes","120616",180
"255","PTY5CU","Phragmites","Typha","No","120616",198
"256","PTY5","Phragmites","Typha","Yes","120616",192
"257","PTY6CU","Phragmites","Typha","No","120616",192
"258","PTY6","Phragmites","Typha","Yes","120616",228
"259","PCC1CU","Phragmites","Calamagrostis","No","220616",216
"260","PCC2CU","Phragmites","Calamagrostis","No","220616",126
"261","PCC1","Phragmites","Calamagrostis","Yes","220616",173
"262","PCC2","Phragmites","Calamagrostis","Yes","220616",141
"263","PCC3CU","Phragmites","Calamagrostis","No","220616",166
"264","CAP1CU","Carex","Phragmites","No","220616",100
"265","CAP1","Carex","Phragmites","Yes","220616",97
"266","CAP2CU","Carex","Phragmites","No","220616",91
"267","CAP2","Carex","Phragmites","Yes","220616",95
"268","CAP3CU","Carex","Phragmites","No","220616",103
"269","CAP3","Carex","Phragmites","Yes","220616",105
"270","CAP4","Carex","Phragmites","Yes","220616",113
"271","CAP5CU","Carex","Phragmites","No","220616",94
"272","CAP5","Carex","Phragmites","Yes","220616",106
"273","PCC3","Phragmites","Calamagrostis","Yes","220616",167
"274","PCC4CU","Phragmites","Calamagrostis","No","220616",243
"275","PCC4","Phragmites","Calamagrostis","Yes","220616",245
"276","PCC5CU","Phragmites","Calamagrostis","No","220616",230
"277","PCC5","Phragmites","Calamagrostis","Yes","220616",212
"278","PCC6CU","Phragmites","Calamagrostis","No","220616",146
"279","PCC6","Phragmites","Calamagrostis","Yes","220616",209
"280","CCP1CU","Calamagrositis","Phragmites","No","220616",120
"281","CCP1","Calamagrositis","Phragmites","Yes","220616",109
"282","CCP2","Calamagrositis","Phragmites","Yes","220616",131
"283","CCP3","Calamagrositis","Phragmites","Yes","220616",101
"284","CAP6CU","Carex","Phragmites","No","220616",108
"285","CAP6","Carex","Phragmites","Yes","220616",100
"286","CAP7CU","Carex","Phragmites","No","220616",111
"287","CAP7","Carex","Phragmites","Yes","220616",120
"288","CAP8CU","Carex","Phragmites","No","220616",89
"289","CAP8","Carex","Phragmites","Yes","220616",86
"290","CAP9CU","Carex","Phragmites","No","220616",99
"291","CAP9","Carex","Phragmites","Yes","220616",113
"292","CAP10CU","Carex","Phragmites","No","220616",104
"293","CAP10","Carex","Phragmites","Yes","220616",99
"294","PCA1CU","Phragmites","Carex","No","220616",194
"295","PCA1","Phragmites","Carex","Yes","220616",142
"296","PCA2","Phragmites","Carex","Yes","220616",227
"297","PCA3CU","Phragmites","Carex","No","220616",175
"298","PCA3","Phragmites","Carex","Yes","220616",137
"299","PCA4CU","Phragmites","Carex","No","220616",154
"300","PCA4","Phragmites","Carex","Yes","220616",164
"301","PCA5","Phragmites","Carex","Yes","220616",179
"302","PCA6CU","Phragmites","Carex","No","220616",143
"303","PCA6","Phragmites","Carex","Yes","220616",175
"304","CAP11CU","Carex","Phragmites","No","220616",97
"305","CAP11","Carex","Phragmites","Yes","220616",92
"306","CAP12CU","Carex","Phragmites","No","220616",98
"307","CAP12","Carex","Phragmites","Yes","220616",97
"308","CCP4","Calamagrositis","Phragmites","Yes","220616",174
"309","CCP5","Calamagrositis","Phragmites","Yes","220616",161
"310","CCP6CU","Calamagrositis","Phragmites","No","220616",94
"311","CCP6","Calamagrositis","Phragmites","Yes","220616",89
"312","CCP7CU","Calamagrositis","Phragmites","No","220616",74
"313","CCP7","Calamagrositis","Phragmites","Yes","220616",80
"314","CCP8CU","Calamagrositis","Phragmites","No","220616",83
"315","CCP8","Calamagrositis","Phragmites","Yes","220616",87
"316","CCP9CU","Calamagrositis","Phragmites","No","220616",95
"317","CCP9","Calamagrositis","Phragmites","Yes","220616",89
"318","CCP10CU","Calamagrositis","Phragmites","No","220616",110
"319","CCP10","Calamagrositis","Phragmites","Yes","220616",80
"320","CCP11CU","Calamagrositis","Phragmites","No","220616",65
"321","CCP11","Calamagrositis","Phragmites","Yes","220616",57
"322","TYP1CU","Typha","Phragmites","No","220616",185
"323","TYP1","Typha","Phragmites","Yes","220616",215
"324","TYP2CU","Typha","Phragmites","No","220616",200
"325","TYP2","Typha","Phragmites","Yes","220616",229
"326","TYP3CU","Typha","Phragmites","No","220616",188
"327","TYP3","Typha","Phragmites","Yes","220616",133
"328","TYP4CU","Typha","Phragmites","No","220616",227
"329","TYP4","Typha","Phragmites","Yes","220616",221
"330","TYP5CU","Typha","Phragmites","No","220616",229
"331","TYP5","Typha","Phragmites","Yes","220616",233
"332","TYP6CU","Typha","Phragmites","No","220616",211
"333","TYP6","Typha","Phragmites","Yes","220616",200
"334","PTY1CU","Phragmites","Typha","No","220616",174
"335","PTY1","Phragmites","Typha","Yes","220616",186
"336","PTY2CU","Phragmites","Typha","No","220616",169
"337","PTY2","Phragmites","Typha","Yes","220616",211
"338","PTY3","Phragmites","Typha","Yes","220616",181
"339","PTY4CU","Phragmites","Typha","No","220616",212
"340","PTY4","Phragmites","Typha","Yes","220616",196
"341","PTY5CU","Phragmites","Typha","No","220616",221
"342","PTY5","Phragmites","Typha","Yes","220616",222
"343","PTY6CU","Phragmites","Typha","No","220616",213
"344","PTY6","Phragmites","Typha","Yes","220616",259
"345","PCC1CU","Phragmites","Calamagrostis","No","020716",230
"346","PCC2CU","Phragmites","Calamagrostis","No","020716",129
"347","PCC1","Phragmites","Calamagrostis","Yes","020716",183
"348","PCC2","Phragmites","Calamagrostis","Yes","020716",149
"349","PCC3CU","Phragmites","Calamagrostis","No","020716",180
"350","CAP1CU","Carex","Phragmites","No","020716",101
"351","CAP1","Carex","Phragmites","Yes","020716",97
"352","CAP2CU","Carex","Phragmites","No","020716",89
"353","CAP2","Carex","Phragmites","Yes","020716",93
"354","CAP3CU","Carex","Phragmites","No","020716",112
"355","CAP3","Carex","Phragmites","Yes","020716",104
"356","CAP4","Carex","Phragmites","Yes","020716",113
"357","CAP5CU","Carex","Phragmites","No","020716",95
"358","CAP5","Carex","Phragmites","Yes","020716",107
"359","PCC3","Phragmites","Calamagrostis","Yes","020716",174
"360","PCC4CU","Phragmites","Calamagrostis","No","020716",261
"361","PCC4","Phragmites","Calamagrostis","Yes","020716",258
"362","PCC5CU","Phragmites","Calamagrostis","No","020716",249
"363","PCC5","Phragmites","Calamagrostis","Yes","020716",231
"364","PCC6CU","Phragmites","Calamagrostis","No","020716",156
"365","PCC6","Phragmites","Calamagrostis","Yes","020716",220
"366","CCP1CU","Calamagrositis","Phragmites","No","020716",123
"367","CCP1","Calamagrositis","Phragmites","Yes","020716",114
"368","CCP2","Calamagrositis","Phragmites","Yes","020716",134
"369","CCP3","Calamagrositis","Phragmites","Yes","020716",101
"370","CAP6CU","Carex","Phragmites","No","020716",108
"371","CAP6","Carex","Phragmites","Yes","020716",101
"372","CAP7CU","Carex","Phragmites","No","020716",106
"373","CAP7","Carex","Phragmites","Yes","020716",119
"374","CAP8CU","Carex","Phragmites","No","020716",85
"375","CAP8","Carex","Phragmites","Yes","020716",86
"376","CAP9CU","Carex","Phragmites","No","020716",100
"377","CAP9","Carex","Phragmites","Yes","020716",111
"378","CAP10CU","Carex","Phragmites","No","020716",100
"379","CAP10","Carex","Phragmites","Yes","020716",100
"380","PCA1CU","Phragmites","Carex","No","020716",208
"381","PCA1","Phragmites","Carex","Yes","020716",154
"382","PCA2","Phragmites","Carex","Yes","020716",246
"383","PCA3CU","Phragmites","Carex","No","020716",194
"384","PCA3","Phragmites","Carex","Yes","020716",145
"385","PCA4CU","Phragmites","Carex","No","020716",176
"386","PCA4","Phragmites","Carex","Yes","020716",175
"387","PCA5","Phragmites","Carex","Yes","020716",188
"388","PCA6CU","Phragmites","Carex","No","020716",148
"389","PCA6","Phragmites","Carex","Yes","020716",189
"390","CAP11CU","Carex","Phragmites","No","020716",97
"391","CAP11","Carex","Phragmites","Yes","020716",92
"392","CAP12CU","Carex","Phragmites","No","020716",103
"393","CAP12","Carex","Phragmites","Yes","020716",95
"394","CCP4","Calamagrositis","Phragmites","Yes","020716",190
"395","CCP5","Calamagrositis","Phragmites","Yes","020716",169
"396","CCP6CU","Calamagrositis","Phragmites","No","020716",100
"397","CCP6","Calamagrositis","Phragmites","Yes","020716",94
"398","CCP7CU","Calamagrositis","Phragmites","No","020716",78
"399","CCP7","Calamagrositis","Phragmites","Yes","020716",82
"400","CCP8CU","Calamagrositis","Phragmites","No","020716",85
"401","CCP8","Calamagrositis","Phragmites","Yes","020716",90
"402","CCP9CU","Calamagrositis","Phragmites","No","020716",100
"403","CCP9","Calamagrositis","Phragmites","Yes","020716",94
"404","CCP10CU","Calamagrositis","Phragmites","No","020716",110
"405","CCP10","Calamagrositis","Phragmites","Yes","020716",81
"406","CCP11CU","Calamagrositis","Phragmites","No","020716",66
"407","CCP11","Calamagrositis","Phragmites","Yes","020716",59
"408","TYP1CU","Typha","Phragmites","No","020716",194
"409","TYP1","Typha","Phragmites","Yes","020716",228
"410","TYP2CU","Typha","Phragmites","No","020716",213
"411","TYP2","Typha","Phragmites","Yes","020716",232
"412","TYP3CU","Typha","Phragmites","No","020716",198
"413","TYP3","Typha","Phragmites","Yes","020716",136
"414","TYP4CU","Typha","Phragmites","No","020716",227
"415","TYP4","Typha","Phragmites","Yes","020716",237
"416","TYP5CU","Typha","Phragmites","No","020716",246
"417","TYP5","Typha","Phragmites","Yes","020716",250
"418","TYP6CU","Typha","Phragmites","No","020716",242
"419","TYP6","Typha","Phragmites","Yes","020716",235
"420","PTY1CU","Phragmites","Typha","No","020716",196
"421","PTY1","Phragmites","Typha","Yes","020716",198
"422","PTY2CU","Phragmites","Typha","No","020716",193
"423","PTY2","Phragmites","Typha","Yes","020716",221
"424","PTY3","Phragmites","Typha","Yes","020716",202
"425","PTY4CU","Phragmites","Typha","No","020716",231
"426","PTY4","Phragmites","Typha","Yes","020716",218
"427","PTY5CU","Phragmites","Typha","No","020716",247
"428","PTY5","Phragmites","Typha","Yes","020716",243
"429","PTY6CU","Phragmites","Typha","No","020716",228
"430","PTY6","Phragmites","Typha","Yes","020716",278
"431","PCC1CU","Phragmites","Calamagrostis","No","120716",248
"432","PCC2CU","Phragmites","Calamagrostis","No","120716",145
"433","PCC1","Phragmites","Calamagrostis","Yes","120716",188
"434","PCC2","Phragmites","Calamagrostis","Yes","120716",160
"435","PCC3CU","Phragmites","Calamagrostis","No","120716",194
"436","CAP1CU","Carex","Phragmites","No","120716",98
"437","CAP1","Carex","Phragmites","Yes","120716",97
"438","CAP2CU","Carex","Phragmites","No","120716",90
"439","CAP2","Carex","Phragmites","Yes","120716",93
"440","CAP3CU","Carex","Phragmites","No","120716",110
"441","CAP3","Carex","Phragmites","Yes","120716",103
"442","CAP4","Carex","Phragmites","Yes","120716",114
"443","CAP5CU","Carex","Phragmites","No","120716",90
"444","CAP5","Carex","Phragmites","Yes","120716",100
"445","PCC3","Phragmites","Calamagrostis","Yes","120716",192
"446","PCC4CU","Phragmites","Calamagrostis","No","120716",279
"447","PCC4","Phragmites","Calamagrostis","Yes","120716",272
"448","PCC5CU","Phragmites","Calamagrostis","No","120716",264
"449","PCC5","Phragmites","Calamagrostis","Yes","120716",243
"450","PCC6CU","Phragmites","Calamagrostis","No","120716",166
"451","PCC6","Phragmites","Calamagrostis","Yes","120716",223
"452","CCP1CU","Calamagrositis","Phragmites","No","120716",124
"453","CCP1","Calamagrositis","Phragmites","Yes","120716",114
"454","CCP2","Calamagrositis","Phragmites","Yes","120716",137
"455","CCP3","Calamagrositis","Phragmites","Yes","120716",103
"456","CAP6CU","Carex","Phragmites","No","120716",112
"457","CAP6","Carex","Phragmites","Yes","120716",100
"458","CAP7CU","Carex","Phragmites","No","120716",109
"459","CAP7","Carex","Phragmites","Yes","120716",119
"460","CAP8CU","Carex","Phragmites","No","120716",84
"461","CAP8","Carex","Phragmites","Yes","120716",86
"462","CAP9CU","Carex","Phragmites","No","120716",102
"463","CAP9","Carex","Phragmites","Yes","120716",111
"464","CAP10CU","Carex","Phragmites","No","120716",105
"465","CAP10","Carex","Phragmites","Yes","120716",100
"466","PCA1CU","Phragmites","Carex","No","120716",223
"467","PCA1","Phragmites","Carex","Yes","120716",164
"468","PCA2","Phragmites","Carex","Yes","120716",255
"469","PCA3CU","Phragmites","Carex","No","120716",215
"470","PCA3","Phragmites","Carex","Yes","120716",160
"471","PCA4CU","Phragmites","Carex","No","120716",191
"472","PCA4","Phragmites","Carex","Yes","120716",182
"473","PCA5","Phragmites","Carex","Yes","120716",201
"474","PCA6CU","Phragmites","Carex","No","120716",161
"475","PCA6","Phragmites","Carex","Yes","120716",197
"476","CAP11CU","Carex","Phragmites","No","120716",97
"477","CAP11","Carex","Phragmites","Yes","120716",89
"478","CAP12CU","Carex","Phragmites","No","120716",103
"479","CAP12","Carex","Phragmites","Yes","120716",108
"480","CCP4","Calamagrositis","Phragmites","Yes","120716",191
"481","CCP5","Calamagrositis","Phragmites","Yes","120716",171
"482","CCP6CU","Calamagrositis","Phragmites","No","120716",101
"483","CCP6","Calamagrositis","Phragmites","Yes","120716",97
"484","CCP7CU","Calamagrositis","Phragmites","No","120716",80
"485","CCP7","Calamagrositis","Phragmites","Yes","120716",83
"486","CCP8CU","Calamagrositis","Phragmites","No","120716",85
"487","CCP8","Calamagrositis","Phragmites","Yes","120716",90
"488","CCP9CU","Calamagrositis","Phragmites","No","120716",103
"489","CCP9","Calamagrositis","Phragmites","Yes","120716",98
"490","CCP10CU","Calamagrositis","Phragmites","No","120716",121
