Site ID,Species,Neighbours,Competition,Ind,Leaf,Biomass,Total
PCC6,Phragmites,Carex,Yes,0.26,1.27,5.06,6.59
PCC6CU,Phragmites,Carex,No,0.19,0.75,13.09,14.03
PTY1,Phragmites,Typha,Yes,0.23,1.16,9.89,11.28
PTY1CU,Phragmites,Typha,No,0.35,,4.38,4.73
PTY2,Phragmites,Typha,Yes,,,,0.00
PTY2CU,Phragmites,Typha,No,0.24,2.86,14.59,17.69
PTY3,Phragmites,Typha,Yes,0.35,,15.51,15.86
PTY3CU,Phragmites,Typha,No,,,,
PTY4,Phragmites,Typha,Yes,0.36,5.5,19.1,24.96
PTY4CU,Phragmites,Typha,No,0.52,6.07,30.02,36.61
PTY5,Phragmites,Typha,Yes,0.47,5.48,14.51,20.46
PTY5CU,Phragmites,Typha,No,,,,
PTY6,Phragmites,Typha,Yes,0.41,4.51,19.85,24.77
PTY6CU,Phragmites,Typha,No,0.46,5.79,18.83,25.08
TYP1,Typha,Phragmites,Yes,,8.92,33.88,42.80
TYP1CU,Typha,Phragmites,No,,19.34,18.93,38.27
TYP2,Typha,Phragmites,Yes,2.39,12.3,12.58,27.27
TYP2CU,Typha,Phragmites,No,,24.68,21.74,46.42
TYP3,Typha,Phragmites,Yes,2.79,12.68,16.69,32.16
TYP3CU,Typha,Phragmites,No,3.39,17.58,20.45,41.42
TYP4,Typha,Phragmites,Yes,3.53,17.67,15.64,36.84
TYP4CU,Typha,Phragmites,No,2.77,15.19,18.6,36.56
TYP5,Typha,Phragmites,Yes,2.49,28.83,28.64,59.96
TYP5CU,Typha,Phragmites,No,2.52,10.37,10.58,23.47
TYP6,Typha,Phragmites,Yes,,17.46,21.23,38.69
TYP6CU,Typha,Phragmites,No,2.1,16.11,16.7,34.91
