Vegetation ,Species,Moisture,Cu,Fe,Mn,P ,Mg ,K ,N,Zn ,PC,TN,Na,Ca,S,Light,pH
Phragmites10,Phragmites,5.939020276,0.688419822,2.496929648,1.613841822,1.505149978,2.506505032,1.653212514,3.826139618,0.880241776,4.87852754,3.653309013,1.771587481,3.770410132,3.255513713,0.380211242,6.4
Phragmites11,Phragmites,5.933487794,0.33243846,2.167317335,1.822821645,1.146128036,2.178976947,1.707570176,3.602168551,0.69019608,4.947928516,3.770925615,1.672097858,3.654753933,2.903632516,1.146128036,7.4
Phragmites12,Phragmites,5.933993669,0.326335861,2.139879086,1.53529412,1.278753601,2.178976947,1.531478917,3.59117595,0.598790507,4.845104244,3.681331706,1.418301291,3.707399831,2.959518377,0.414973348,7
Phragmites13,Phragmites,5.939519752,0.684845362,2.344392274,1.328379603,1.255272505,2.257678575,1.662757832,3.643551369,0.719331287,4.81624793,3.568319085,1.752816431,3.725584972,3.146438135,0.544068044,6.7
Phragmites14,Phragmites,5.914872346,0.444044796,2.120573931,1.383815366,1.204119983,2.257678575,1.77815125,3.342620043,0.600972896,4.668395236,3.322426052,1.677606953,3.594503044,3.041787319,0.397940009,6.6
Phragmites15,Phragmites,5.93701661,0.357934847,2.029383778,1.534026106,1.012837225,1.959041392,1.414973348,3.230704314,0.495544338,4.671182103,3.361916619,1.700703717,3.574378564,2.764176132,0.477121255,7
Calamagrostis1,Calamagrostis,5.86628793,0.600972896,2.210986974,1.248463718,1.054995862,2.01911629,1.673757937,3.278982117,0.64246452,4.53149169,3.146438135,1.285782274,3.492215434,2.580924976,0.986771734,7.3
Calamagrostis2,Calamagrostis,5.778151974,0.62838893,2.168202747,1.123851641,1.123851641,2.031650794,1.678700435,3.301247089,0.636487896,4.564677898,3.114277297,1.315340477,3.515832796,2.613841822,1.40654018,7.4
Calamagrostis3,Calamagrostis,5.835691205,0.537819095,2.034868996,1.113609151,1.031004281,1.921270186,1.531095547,3.204391332,0.51851394,4.599893984,3.204391332,1.260786669,3.44298589,2.545307116,1.474216264,7.4
Calamagrostis4,Calamagrostis,5.900367675,0.624282096,2.011316643,1.15715444,1.018284308,1.901022173,1.57921178,3.255513713,0.514547753,4.568213462,3.204391332,1.26245109,3.48671944,2.592176757,0.812913357,7.3
Calamagrostis5,Calamagrostis,5.903633058,0.587710965,1.913707914,1.048441804,0.906335042,1.845779967,1.508933526,3.114277297,0.392696953,4.702439153,3.38039216,1.211654401,3.418271453,2.463892989,0.322219295,7.5
Calamagrostis6,Calamagrostis,5.879096453,0.546542663,1.929827481,1.109240969,0.995196292,1.875697762,1.442166086,3.204391332,0.428134794,4.586598556,3.146438135,1.238046103,3.438240057,2.532754379,0.69019608,7.5
Calamagrostis7,Calamagrostis,5.843233401,0.498310554,1.716337288,1.226599905,0.736396502,1.828659897,1.297979244,3.000434077,0.413299764,4.645432095,3.361916619,1.206556044,3.421908155,2.432969291,0.939519253,7.7
Calamagrostis8,Calamagrostis,5.917506035,0.46686762,1.75709222,1.164947373,0.991669007,1.744214725,1.305995883,3.041787319,0.428134794,4.416657147,2.954724791,1.21005085,3.422463439,2.463892989,0.748188027,7.3
Calamagrostis9,Calamagrostis,5.85125896,0.385606274,1.804139432,1.302114377,0.827369273,1.722880611,1.36361198,3.114277297,0.426511261,4.562304763,3.204391332,1.285332228,3.387393386,2.432969291,1.1430148,7.5
Calamagrostis10,Calamagrostis,5.884229337,0.421603927,1.744449457,1.370698093,0.669316881,1.683047038,1.137986733,3.000434077,0.394451681,4.918035582,3.755951041,1.113609151,3.36617632,2.382017043,1.049218023,7.5
Calamagrostis11,Calamagrostis,5.833785011,0.702430536,2.087532976,1.109578547,1.109578547,1.981999714,1.656098202,3.361916619,0.555094449,4.637499736,3.322426052,1.379124146,3.52163227,2.63447727,0.380211242,7.2
Calamagrostis12,Calamagrostis,5.885361786,0.704150517,2.051461244,1.185258765,0.989004616,2.018658898,1.58410497,3.255513713,0.451786436,4.537831683,3.000434077,1.267171728,3.502746578,2.532754379,0.653212514,7.5
Calamagrostis13,Calamagrostis,5.836957369,0.80140371,2.16781929,1.161667412,1.135768515,2.076421967,1.676236217,3.462547729,0.564666064,4.578650669,3.114277297,1.32776749,3.560236707,2.725094521,0.255272505,7.4
Calamagrostis14,Calamagrostis,5.89487021,0.716837723,2.219532135,1.218010043,1.116275588,2.053347392,1.661149857,3.415140352,0.59439255,4.626350634,3.255513713,1.300378065,3.53772845,2.691081492,0.414973348,7.2
Calamagrostis15,Calamagrostis,5.876218418,0.713490543,2.193764433,1.195622944,1.121887985,2.091385542,1.669316881,3.398113692,0.638489257,4.719339575,3.431524584,1.346744055,3.545338048,2.613841822,0.851258349,7.3
