Site ID,Species,Neighbours,Competition,10-May-17,27-May-17,07-Jun-17,16-Jun-17,28-Jun-17
CCP8CU,Calamagrostis,Phragmites,No,59,96,107,124,130
CCP9,Calamagrostis,Phragmites,Yes,79,107,112,118,135
CCP9CU,Calamagrostis,Phragmites,No,79,81,94,100,103
PCA1,Phragmites,Carex,Yes,56,136,158,193,225
PCA1CU,Phragmites,Carex,No,54,107,120,130,148
PCA2,Phragmites,Carex,Yes,53,89,112,142,170
PCA2CU,Phragmites,Carex,No,50,110,116,144,165
PCA3,Phragmites,Typha,Yes,77,108,131,160,173
PCA3CU,Phragmites,Typha,No,76,129,149,174,175
PCA4,Phragmites,Typha,Yes,85,159,200,210,220
PCA4CU,Phragmites,Typha,No,87,130,144,147,147
PCA5,Phragmites,Typha,Yes,68,113,135,152,180
PCA5CU,Phragmites,Typha,No,70,137,154,187,188
PCA6,Phragmites,Typha,Yes,58,117,134,159,162
PCA6CU,Phragmites,Typha,No,60,106,112,134,135
PCC1,Phragmites,Calamagrostis,Yes,52,137,167,210,210
PCC1CU,Phragmites,Calamagrostis,No,49,108,125,147,150
PCC2,Phragmites,Calamagrostis,Yes,51,126,163,205,219
PCC2CU,Phragmites,Calamagrostis,No,54,140,180,217,240
PCC3,Phragmites,Calamagrostis,Yes,51,132,165,199,215
PCC3CU,Phragmites,Calamagrostis,No,50,79,100,124,230
PCC4,Phragmites,Calamagrostis,Yes,59,155,207,260,292
PCC4CU,Phragmites,Calamagrostis,No,57,136,176,210,220
PCC5,Phragmites,Carex,Yes,54,106,115,164,170
PCC5CU,Phragmites,Carex,No,55,113,150,174,185
PCC6,Phragmites,Carex,Yes,76,118,121,122,125
PCC6CU,Phragmites,Carex,No,78,129,148,166,180
PTY1,Phragmites,Typha,Yes,63,118,153,190,204
PTY1CU,Phragmites,Typha,No,64,133,165,194,209
PTY2,Phragmites,Typha,Yes,58,133,171,220,236
PTY2CU,Phragmites,Typha,No,56,129,165,170,210
PTY3,Phragmites,Typha,Yes,71,151,183,216,244
PTY3CU,Phragmites,Typha,No,70,134,156,196,222
PTY4,Phragmites,Typha,Yes,80,161,163,235,268
PTY4CU,Phragmites,Typha,No,84,163,198,233,264
PTY5,Phragmites,Typha,Yes,77,132,163,189,211
PTY5CU,Phragmites,Typha,No,75,144,n/a,n/a,n/a
PTY6,Phragmites,Typha,Yes,86,156,201,222,244
PTY6CU,Phragmites,Typha,No,88,146,175,220,238
TYP1,Typha,Phragmites,Yes,85,182,223,252,252
TYP1CU,Typha,Phragmites,No,84,153,194,230,248
TYP2,Typha,Phragmites,Yes,76,150,200,255,263
TYP2CU,Typha,Phragmites,No,74,158,102,244,270
TYP3,Typha,Phragmites,Yes,84,170,207,252,288
TYP3CU,Typha,Phragmites,No,82,167,192,229,268
TYP4,Typha,Phragmites,Yes,87,173,118,267,284
TYP4CU,Typha,Phragmites,No,89,174,217,247,274
TYP5,Typha,Phragmites,Yes,76,179,218,276,302
TYP5CU,Typha,Phragmites,No,76,144,186,210,244
TYP6,Typha,Phragmites,Yes,70,162,187,249,288
TYP6CU,Typha,Phragmites,No,72,157,190,245,270
